schema_name,table_name,index_name,is_primary,is_unique,is_live,is_valid,is_clustered,predicate,comment,indexdef
public,canonical_users,canonical_users_eth_wallet_address_key,false,true,true,true,false,null,null,CREATE UNIQUE INDEX canonical_users_eth_wallet_address_key ON public.canonical_users USING btree (eth_wallet_address)
public,canonical_users,canonical_users_pkey,true,true,true,true,false,null,null,CREATE UNIQUE INDEX canonical_users_pkey ON public.canonical_users USING btree (id)
public,canonical_users,canonical_users_uid_key,false,true,true,true,false,null,null,CREATE UNIQUE INDEX canonical_users_uid_key ON public.canonical_users USING btree (uid)
public,canonical_users,canonical_users_wallet_address_key,false,true,true,true,false,null,null,CREATE UNIQUE INDEX canonical_users_wallet_address_key ON public.canonical_users USING btree (wallet_address)
public,canonical_users,idx_canonical_users_canonical_id,false,false,true,true,false,null,null,CREATE INDEX idx_canonical_users_canonical_id ON public.canonical_users USING btree (canonical_user_id)
public,canonical_users,idx_canonical_users_privy_user_id,false,false,true,true,false,null,null,CREATE INDEX idx_canonical_users_privy_user_id ON public.canonical_users USING btree (privy_user_id)
public,canonical_users,idx_canonical_users_wallet,false,false,true,true,false,null,null,CREATE INDEX idx_canonical_users_wallet ON public.canonical_users USING btree (wallet_address)
public,canonical_users,idx_cu_wallet,false,false,true,true,false,null,null,CREATE INDEX idx_cu_wallet ON public.canonical_users USING btree (wallet_address)
public,canonical_users,uq_canonical_users_canonical,false,true,true,true,false,(canonical_user_id IS NOT NULL),null,CREATE UNIQUE INDEX uq_canonical_users_canonical ON public.canonical_users USING btree (canonical_user_id) WHERE (canonical_user_id IS NOT NULL)
public,cdp_event_queue,cdp_event_queue_pkey,true,true,true,true,false,null,null,CREATE UNIQUE INDEX cdp_event_queue_pkey ON public.cdp_event_queue USING btree (id)
public,cdp_webhooks_v2,cdp_webhooks_v2_pkey,true,true,true,true,false,null,null,CREATE UNIQUE INDEX cdp_webhooks_v2_pkey ON public.cdp_webhooks_v2 USING btree (id)
public,cdp_webhooks_v2,idx_cdp2_block_ts,false,false,true,true,false,null,null,CREATE INDEX idx_cdp2_block_ts ON public.cdp_webhooks_v2 USING btree (block_timestamp)
public,cdp_webhooks_v2,idx_cdp2_contract,false,false,true,true,false,null,null,CREATE INDEX idx_cdp2_contract ON public.cdp_webhooks_v2 USING btree (contract_address)
public,cdp_webhooks_v2,idx_cdp2_event_sig,false,false,true,true,false,null,null,CREATE INDEX idx_cdp2_event_sig ON public.cdp_webhooks_v2 USING btree (event_signature)
public,cdp_webhooks_v2,idx_cdp2_params_from,false,false,true,true,false,null,null,CREATE INDEX idx_cdp2_params_from ON public.cdp_webhooks_v2 USING btree (((parameters ->> 'from'::text)))
public,cdp_webhooks_v2,idx_cdp2_params_payout,false,false,true,true,false,null,null,CREATE INDEX idx_cdp2_params_payout ON public.cdp_webhooks_v2 USING btree (((parameters ->> 'payoutRecipient'::text)))
public,cdp_webhooks_v2,idx_cdp2_params_to,false,false,true,true,false,null,null,CREATE INDEX idx_cdp2_params_to ON public.cdp_webhooks_v2 USING btree (((parameters ->> 'to'::text)))
public,cdp_webhooks_v2,idx_cdp2_tx,false,false,true,true,false,null,null,CREATE INDEX idx_cdp2_tx ON public.cdp_webhooks_v2 USING btree (tx_hash)
public,competition_entries,competition_entries_pkey,true,true,true,true,false,null,null,CREATE UNIQUE INDEX competition_entries_pkey ON public.competition_entries USING btree (id)
public,competition_entries,competition_entries_unique,false,true,true,true,false,null,null,"CREATE UNIQUE INDEX competition_entries_unique ON public.competition_entries USING btree (canonical_user_id, competition_id)"
public,competition_entries,idx_comp_entries_user_comp,false,false,true,true,false,null,null,"CREATE INDEX idx_comp_entries_user_comp ON public.competition_entries USING btree (canonical_user_id, competition_id)"
public,competition_entries,idx_competition_entries_cuid,false,false,true,true,false,null,null,CREATE INDEX idx_competition_entries_cuid ON public.competition_entries USING btree (canonical_user_id)
public,competition_entries,idx_competition_entries_unique,false,true,true,true,false,null,null,"CREATE UNIQUE INDEX idx_competition_entries_unique ON public.competition_entries USING btree (competition_id, canonical_user_id)"
public,competition_entries,idx_competition_entries_user_comp,false,false,true,true,false,null,null,"CREATE INDEX idx_competition_entries_user_comp ON public.competition_entries USING btree (canonical_user_id, competition_id)"
public,competition_entries,ux_comp_entries_comp_user,false,true,true,true,false,null,null,"CREATE UNIQUE INDEX ux_comp_entries_comp_user ON public.competition_entries USING btree (competition_id, canonical_user_id)"
public,competition_entries,ux_competition_entries_canonical_user_comp,false,true,true,true,false,null,null,"CREATE UNIQUE INDEX ux_competition_entries_canonical_user_comp ON public.competition_entries USING btree (canonical_user_id, competition_id)"
public,competition_entries,ux_competition_entries_comp_user,false,true,true,true,false,null,null,"CREATE UNIQUE INDEX ux_competition_entries_comp_user ON public.competition_entries USING btree (competition_id, canonical_user_id)"
public,competitions,competitions_pkey,true,true,true,true,false,null,null,CREATE UNIQUE INDEX competitions_pkey ON public.competitions USING btree (id)
