schema,function,args,returns,language,kind,volatility,security_definer,leakproof,comment
public,finalize_order,"p_reservation_id uuid, p_user_id text, p_competition_id uuid, p_unit_price numeric",jsonb,plpgsql,f,v,true,false,Atomic checkout: deducts balance and finalizes ticket purchase for a pending reservation.
public,finalize_pending_tickets_autoreplace,"p_pending_ticket_id uuid, p_expected_user_id text, p_expected_competition_id uuid, p_payment_provider text","TABLE(success boolean, ticket_numbers integer[], replaced_count integer, error text)",plpgsql,f,v,true,false,null
public,finalize_purchase,p_reservation_id uuid,jsonb,plpgsql,f,v,false,false,null
public,fn_credit_sub_account_on_instant_wallet_topup,,trigger,plpgsql,f,v,false,false,null
public,gen_deterministic_tx_id,"p_id uuid, p_order_id text, p_canonical_user_id text, p_wallet_address text, p_type text, p_method text, p_amount numeric, p_currency text, p_created_at timestamp with time zone",text,sql,f,s,false,false,null
public,gen_random_bytes,integer,bytea,c,f,v,false,false,null
public,gen_random_uuid,,uuid,c,f,v,false,false,null
public,gen_salt,text,text,c,f,v,false,false,null
public,gen_salt,"text, integer",text,c,f,v,false,false,null
public,gen_ticket_tx_id,"p_id uuid, p_competition_id uuid, p_ticket_number bigint, p_canonical_user_id text, p_wallet_address text, p_payment_provider text, p_payment_amount numeric, p_payment_tx_hash text, p_created_at timestamp with time zone",text,sql,f,s,false,false,null
public,generate_instant_win_tickets,p_competition_id uuid,jsonb,plpgsql,f,v,true,false,null
public,get_active_competitions_for_draw,,"TABLE(id uuid, onchain_competition_id bigint, end_date timestamp with time zone, status text)",plpgsql,f,v,true,false,null
public,get_available_ticket_count_v2,p_competition_id text,integer,plpgsql,f,v,true,false,null
public,get_balance_by_any_id,p_user_id text,numeric,plpgsql,f,v,true,false,null
public,get_canonical_user_id_for_caller,,text,sql,f,s,true,false,null
public,get_competition_availability,"p_competition_id uuid, p_total integer","TABLE(competition_id uuid, total integer, unavailable integer, available integer)",sql,f,s,false,false,null
public,get_competition_availability_strict,p_competition_id uuid,jsonb,plpgsql,f,v,true,false,null
public,get_competition_by_id,p_competition_id uuid,"TABLE(id uuid, title text, total_tickets integer, ticket_price numeric, end_date timestamp with time zone, is_instant_win boolean, onchain_competition_id bigint, status text, vrf_tx_hash text, vrf_error text, created_at timestamp with time zone, updated_at timestamp with time zone)",plpgsql,f,v,true,false,null
public,get_competition_entries,competition_identifier text,"TABLE(uid text, competitionid text, userid text, privy_user_id text, numberoftickets integer, ticketnumbers text, amountspent numeric, walletaddress text, username text, chain text, transactionhash text, purchasedate timestamp with time zone, created_at timestamp with time zone)",plpgsql,f,s,true,false,null
public,get_competition_entries,"p_competition_id text, p_limit integer, p_offset integer",jsonb,plpgsql,f,v,true,false,null
public,get_competition_entries_bypass_rls,competition_identifier text,"TABLE(uid text, competitionid text, userid text, privy_user_id text, numberoftickets integer, ticketnumbers text, amountspent numeric, walletaddress text, username text, chain text, transactionhash text, purchasedate timestamp with time zone, created_at timestamp with time zone)",plpgsql,f,v,true,false,null
public,get_competition_sold_tickets,p_competition_id uuid,"TABLE(sold_count integer, pending_count integer, total_tickets integer, available_count integer)",plpgsql,f,v,true,false,null
public,get_competition_ticket_availability,competition_id uuid,jsonb,plpgsql,f,v,true,false,null
public,get_competition_ticket_availability_text,competition_id_text text,"TABLE(competition_id uuid, total_tickets bigint, sold_count bigint, available_count bigint)",sql,f,s,false,false,null
public,get_competition_unavailable_tickets,p_competition_id text,"TABLE(ticket_number integer, source text)",plpgsql,f,s,true,false,Text wrapper for get_competition_unavailable_tickets. Converts TEXT to UUID.
public,get_comprehensive_user_dashboard_entries,p_user_identifier text,"TABLE(id text, competition_id text, title text, description text, image text, status text, entry_type text, is_winner boolean, ticket_numbers text, total_tickets integer, total_amount_spent numeric, purchase_date timestamp with time zone, transaction_hash text, is_instant_win boolean, prize_value numeric, competition_status text, end_date timestamp with time zone)",plpgsql,f,v,true,false,null
public,get_custody_wallet_summary,p_user_id text,"TABLE(current_balance numeric, last_transaction_at timestamp with time zone, pending_transactions integer, total_deposits numeric, total_withdrawals numeric, total_payouts numeric)",plpgsql,f,s,true,false,null
public,get_dashboard_live_entries_v1,p_canonical_user_id text,SETOF dashboard_live_entries_v1,sql,f,v,false,false,null
public,get_entry_vrf_status_v1,p_canonical_user_id text,SETOF entry_vrf_status_v1,sql,f,v,false,false,null
public,get_entry_vrf_status_v2,"p_competition_id uuid, p_canonical_user_id text",jsonb,plpgsql,f,v,false,false,null
public,get_joincompetition_entries_for_competition,p_competition_id uuid,SETOF joincompetition,sql,f,s,false,false,null
public,get_sub_account_balance,"p_canonical_user_id text, p_user_id text, p_privy_user_id text","TABLE(id uuid, user_id uuid, currency text, available_balance numeric, pending_balance numeric, last_updated timestamp with time zone, canonical_user_id text, privy_user_id text, wallet_address text)",plpgsql,f,v,true,false,null
public,get_sub_account_balance_flexible,"p_canonical_user_id text, p_wallet_address text, p_currency text, p_include_pending boolean",numeric,plpgsql,f,v,true,false,"Flexible balance lookup that accepts either canonical_user_id or wallet_address.
Parameters:
- p_canonical_user_id: prize:pid: format user ID (preferred)
- p_wallet_address: Ethereum wallet address (0x...) for fallback lookup
- p_currency: Currency code (default USD)
- p_include_pending: Include pending_balance in result (default false)

Examples:
- By canonical ID: SELECT get_sub_account_balance_flexible('prize:pid:0xaa284ddd...', NULL, 'USD', true);
- By wallet: SELECT get_sub_account_balance_flexible(NULL, '0xaa284ddd...', 'USD', true);"
public,get_unavailable_tickets,p_competition_id text,integer[],plpgsql,f,s,true,false,null
public,get_unavailable_tickets_resilient,p_competition_id text,jsonb,plpgsql,f,s,true,false,null
public,get_unavailable_tickets_safe,p_competition_id text,jsonb,sql,f,s,true,false,null
public,get_user_active_tickets,p_user_identifier text,"TABLE(competitionid uuid, ticketnumbers text[])",plpgsql,f,v,true,false,"Returns user active tickets across all competitions. Accepts any user identifier (wallet, privy_user_id, canonical_user_id). Returns legacy-compatible shape: {competitionid, ticketnumbers}."
public,get_user_balance,"p_user_identifier text, p_canonical_user_id text",jsonb,plpgsql,f,v,true,false,null
public,get_user_balance,"user_identifier uuid, in_currency text","TABLE(user_id text, available_balance numeric, pending_balance numeric)",sql,f,s,false,false,UUID overload for compatibility; casts to text identifiers.
public,get_user_balance_by_canonical_id,p_canonical_user_id text,"TABLE(canonical_user_id text, usdc_balance numeric, bonus_balance numeric)",sql,f,s,false,false,null
public,get_user_by_wallet,p_wallet_address text,"TABLE(id uuid, canonical_user_id text, wallet_address text, usdc_balance numeric, has_used_new_user_bonus boolean)",plpgsql,f,v,true,false,null
public,get_user_competition_entries,p_user_identifier text,"TABLE(id text, competition_id text, competition_title text, competition_description text, competition_image_url text, competition_status text, competition_end_date timestamp with time zone, competition_prize_value numeric, competition_is_instant_win boolean, draw_date timestamp with time zone, vrf_tx_hash text, vrf_status text, vrf_draw_completed_at timestamp with time zone, tickets_count integer, ticket_numbers text, amount_spent numeric, amount_paid numeric, is_winner boolean, wallet_address text, latest_purchase_at timestamp with time zone, created_at timestamp with time zone, entry_status text, individual_purchases jsonb)",plpgsql,f,v,true,false,null
public,get_user_dashboard_entries,"p_canonical_user_id text, p_include_pending boolean",jsonb,sql,f,s,false,false,null
public,get_user_stats,p_wallet_address text,json,plpgsql,f,v,false,false,null
public,get_user_ticket_count,user_identifier text,integer,plpgsql,f,s,true,false,null
public,get_user_tickets,"user_identifier text, p_identifier text","TABLE(id uuid, competition_id uuid, ticket_number integer, user_id text, canonical_user_id text, purchase_price numeric, purchased_at timestamp with time zone, is_winner boolean, created_at timestamp with time zone)",plpgsql,f,s,true,false,Returns all tickets for a user. Accepts user_identifier OR p_identifier parameter for backward compatibility.
public,get_user_tickets_bypass_rls,user_identifier text,"TABLE(id text, competition_id text, ticket_number integer, ticket_numbers text, number_of_tickets integer, amount_spent numeric, purchase_date timestamp with time zone, wallet_address text, transaction_hash text, is_active boolean)",plpgsql,f,s,true,false,null
public,get_user_tickets_for_competition,"competition_id uuid, user_id text",TABLE(ticketnumbers text[]),sql,f,s,false,false,null
public,get_user_tickets_for_competition,"p_user_id text, p_competition_id uuid","TABLE(ticket_number integer, purchase_date timestamp with time zone)",plpgsql,f,s,true,false,null
public,get_user_transactions,user_identifier text,jsonb,plpgsql,f,v,true,false,null
public,get_user_transactions_bypass_rls,user_identifier text,SETOF user_transactions,sql,f,v,true,false,null
public,get_user_wallet_balance,p_user_identifier text,numeric,sql,f,s,false,false,null
public,get_user_wallets,user_identifier text,jsonb,plpgsql,f,v,true,false,null
public,get_vrf_history,"p_competition_id uuid, p_limit integer","TABLE(log_id uuid, competition_id uuid, source text, function_name text, numbers_generated integer[], context text, outcome text, security_level text, vrf_tx_hash text, log_timestamp timestamp with time zone)",plpgsql,f,v,true,false,null
public,get_winners_by_competition,p_competition_id uuid,"TABLE(id uuid, competition_id uuid, ticket_id uuid, user_id uuid, wallet_address text, prize_value numeric, prize_type text, claimed boolean, ticket_number integer)",plpgsql,f,v,true,false,null
public,hmac,"bytea, bytea, text",bytea,c,f,i,false,false,null
public,hmac,"text, text, text",bytea,c,f,i,false,false,null
public,increment_competition_tickets_sold,"p_competition_id uuid, p_count integer",void,plpgsql,f,v,true,false,null
public,increment_partner_clicks,"p_partner_id uuid, p_link_type text",void,plpgsql,f,v,false,false,Increments the click count for a partner
public,index_exists,"table_name text, index_name text",boolean,plpgsql,f,s,false,false,null
public,insert_rng_log,"p_timestamp timestamp with time zone, p_source text, p_function_name text, p_competition_id uuid, p_competition_type text, p_context text, p_outcome text, p_is_winner boolean, p_security_level text",boolean,plpgsql,f,v,true,false,null
public,is_external_topup_provider,p text,boolean,sql,f,i,false,false,null
public,is_uuid,p text,boolean,plpgsql,f,i,false,false,null
public,joincompetition_balance_guard,,trigger,plpgsql,f,v,false,false,null
public,joincompetition_normalize,,trigger,plpgsql,f,v,false,false,null
public,joincompetition_sync_wallet,,trigger,plpgsql,f,v,false,false,null
public,link_additional_wallet,"user_identifier text, p_wallet_address text, p_wallet_type text, p_nickname text",json,plpgsql,f,v,true,false,null
